,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
55,Heather,Conan Gray,0.357,0.425,5,-7.301,1,0.0333,0.584,0.27,102.078,198040,3
56,With you,"Jimin, HA SUNG WOON",0.532,0.426,3,-6.117,1,0.028800000000000003,0.639,0.137,149.898,201905,3
57,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",0.654,0.63,10,-4.644,1,0.025900000000000003,0.149,0.43,89.991,167693,4
58,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",0.597,0.45,8,-6.658,1,0.041800000000000004,0.223,0.537,178.765,228482,3
59,Paper Rings,Taylor Swift,0.811,0.719,9,-6.553,1,0.0497,0.0129,0.865,103.979,222400,4
60,I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,0.419,91.97,197437,4
61,Favorite Girl,Justin Bieber,0.581,0.681,7,-4.469,1,0.043500000000000004,0.0472,0.634,176.034,256800,4
62,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",0.81,0.655,8,-6.779,0,0.0698,0.127,0.809,150.002,193322,4
63,Cheating on You,Charlie Puth,0.749,0.535,4,-6.785,1,0.033600000000000005,0.0131,0.601,123.042,196607,4
64,Shivers,Ed Sheeran,0.788,0.859,2,-2.724,1,0.08560000000000001,0.281,0.8220000000000001,141.02,207853,4
65,2002,Anne-Marie,0.6970000000000001,0.683,1,-2.8810000000000002,0,0.117,0.037200000000000004,0.603,96.133,186987,4
66,Kundiman,Silent Sanctuary,0.335,0.5710000000000001,11,-4.711,1,0.024300000000000002,0.5640000000000001,0.454,93.572,339053,4
67,Ikaw At Ako,"Moira Dela Torre, Jason Marvin",0.445,0.355,4,-7.351,1,0.028900000000000002,0.887,0.366,135.525,269877,4
68,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",0.677,0.6960000000000001,0,-6.181,1,0.11900000000000001,0.321,0.464,90.03,198082,4
69,Imahe,Magnus Haven,0.604,0.446,9,-8.01,1,0.0341,0.63,0.199,143.946,321817,4
70,Wildest Dreams (Taylor's Version),Taylor Swift,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.498,140.061,220433,4
71,happier,Olivia Rodrigo,0.395,0.443,6,-9.72,1,0.133,0.765,0.338,168.924,175933,3
72,KLWKN,Music Hero,0.493,0.394,2,-6.997,1,0.0366,0.5750000000000001,0.375,152.03,256573,4
73,abcdefu,GAYLE,0.6950000000000001,0.54,4,-5.692,1,0.049300000000000004,0.299,0.41500000000000004,121.932,168602,4
74,An Art Gallery Could Never Be As Unique As You,mrld,0.48,0.299,7,-12.077,1,0.052500000000000005,0.838,0.196,121.75,158677,4
75,Pa-umaga,Al James,0.911,0.299,0,-17.179,1,0.0752,0.17,0.5650000000000001,130.038,189019,4
76,Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,1,0.059000000000000004,0.6950000000000001,0.494,85.043,211467,4
77,Eroplanong Papel,December Avenue,0.47100000000000003,0.647,0,-3.549,1,0.0347,0.00753,0.15,138.998,303880,4
78,Kiss It Better,Rihanna,0.619,0.806,3,-4.8,0,0.0483,0.272,0.877,95.0,253080,4
79,That That (prod. & feat. SUGA of BTS),"PSY, SUGA",0.905,0.962,4,-3.197,1,0.08560000000000001,0.029900000000000003,0.906,129.969,174647,4
80,March,SEVENTEEN,0.662,0.933,11,-3.099,0,0.0614,0.012,0.622,119.985,196187,4
81,Kung 'Di Rin Lang Ikaw,"December Avenue, Moira Dela Torre",0.502,0.482,4,-4.736,1,0.028800000000000003,0.161,0.132,133.894,267759,4
82,Akin Ka Na Lang,The Itchyworms,0.6990000000000001,0.655,7,-5.179,1,0.0412,0.419,0.919,128.644,183760,4
83,Sa Ngalan Ng Pag-Ibig,December Avenue,0.518,0.762,7,-3.907,1,0.030500000000000003,0.08510000000000001,0.271,155.985,285138,4
84,Falling,Harry Styles,0.5670000000000001,0.267,4,-6.502,1,0.029900000000000003,0.839,0.0592,110.011,240133,4
85,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",0.524,0.364,7,-10.209,1,0.0367,0.808,0.436,75.24,209831,4
86,Out of My League,Stephen Speaks,0.538,0.315,0,-10.057,1,0.0291,0.96,0.4,91.921,218800,3
87,Butter,BTS,0.759,0.459,8,-5.187,1,0.09480000000000001,0.0032300000000000002,0.6950000000000001,109.997,164442,4
88,I Quit Drinking,"Kelsea Ballerini, LANY",0.607,0.418,1,-6.997,1,0.0363,0.394,0.386,95.002,171200,4
89,Matilda,Harry Styles,0.507,0.294,2,-10.0,1,0.04,0.896,0.386,114.199,245964,4
90,Night Changes,One Direction,0.672,0.52,8,-7.747,1,0.035300000000000005,0.859,0.37,120.001,226600,4
91,Is There Someone Else?,The Weeknd,0.7020000000000001,0.586,9,-7.83,0,0.0313,0.0388,0.608,134.951,199111,4
92,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID",0.728,0.783,11,-4.424,0,0.266,0.23700000000000002,0.555,77.011,173381,4
93,THATS WHAT I WANT,Lil Nas X,0.737,0.846,1,-4.51,0,0.22,0.0061400000000000005,0.546,87.981,143901,4
94,Polaroid Love,ENHYPEN,0.738,0.67,7,-3.766,0,0.0439,0.458,0.651,138.055,184602,4
95,As You Are,Zack Tabudlo,0.715,0.438,10,-6.147,0,0.0373,0.353,0.447,81.07,183969,4
96,Kiss Me More (feat. SZA),"Doja Cat, SZA",0.764,0.705,8,-3.463,1,0.0284,0.259,0.781,110.97,208667,4
97,I Need You More Today,Caleb Santos,0.461,0.522,11,-7.513,1,0.043000000000000003,0.36,0.446,157.768,233728,4
98,Style,Taylor Swift,0.588,0.791,7,-5.595,1,0.0402,0.0024500000000000004,0.487,94.933,231000,4
99,All I Want - From High School Musical: The Musical: The Series,Olivia Rodrigo,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.129,77.599,177323,3
