rank,uri,artist_names,title,source,peak_rank,previous_rank,weeks_on_chart,streams
40,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,Troye Sivan,Strawberries & Cigarettes,EMI Recorded Music Australia Pty Ltd,22,38,137,751151
41,spotify:track:1dcNEEtODRVZEevQ20Cgmy,Zack Tabudlo,Nangangamba,Universal Music Philippines Inc.,4,39,70,745373
42,spotify:track:3PgjBOoA5OytNGkglObpOd,Ben&Ben,Sa Susunod na Habang Buhay,Sony Music Entertainment,2,40,127,720205
43,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,9,51,38,702809
44,spotify:track:0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,44,49,9,702611
45,spotify:track:55RMhrPQYA6vLu5YMgXxFD,Zack Tabudlo,Binibini,Universal Music Philippines Inc.,1,45,70,685226
46,spotify:track:3pCt2wRdBDa2kCisIdHWgF,Pamungkas,To the Bone,Mas Pam Records,5,42,61,682033
47,spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,Atlantic Records,20,43,28,679347
48,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,20,46,58,676978
49,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,29,48,11,663604
50,spotify:track:152sJgmftB46Q6IsDTUDLN,Sam Concepcion,Diwata (Miss Universe Philippines 2021),Old School Records,7,41,24,650177
51,spotify:track:0HZ3OUVrGHxttD2EuHqRm3,Hale,The Day You Said Goodnight,PolyEast Records,41,47,204,626198
52,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",52,52,11,617754
53,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,"Big Machine Records, LLC",12,61,39,603003
54,spotify:track:4IaxDf2FixiQXq0mW7key9,Jessi,ZOOM,P NATION,8,50,16,586325
55,spotify:track:3Eb5sztvEMa0Mqnb8DUAlU,IV Of Spades,Come Inside Of My Heart,Warner Music Philippines,53,53,71,583892
56,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,4,55,63,580216
57,spotify:track:0xaKCWpX4CBSqwh7CQa4EG,Al James,PSG,Al James,9,54,29,565810
58,spotify:track:0mL82sxCRjrs3br407IdJh,The Weeknd,Is There Someone Else?,XO / Republic Records,52,57,14,555213
59,spotify:track:22bPsP2jCgbLUvh82U0Z3M,Taylor Swift,The Way I Loved You (Taylor’s Version),Taylor Swift,17,65,10,544627
60,spotify:track:3WUEs51GpcvlgU7lehLgLh,Ben&Ben,Kathang Isip,Warner Music Philippines,2,59,242,542949
61,spotify:track:5TTXEcfsYLh6fTarLaevTi,NIKI,lowkey,88rising Music,26,58,133,533456
62,spotify:track:6wdCelHrPh7UfliNjwRTUv,Ben&Ben,Leaves,Warner Music Philippines,40,62,236,530283
63,spotify:track:5F1ZmucV0uJY14y2dYKePa,Joji,Sanctuary,88rising Music/Warner Records,17,56,123,529659
64,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,1,70,94,525267
65,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,69,70,522850
66,spotify:track:2xCkiGqGMkAIg6fQTag51C,Unique Salonga,Sino,O/C Records,66,67,51,522191
67,spotify:track:4rG3h1QwgjSSWz8EIjCFrm,Ben&Ben,Araw-Araw,Sony Music Entertainment,23,60,151,520603
68,spotify:track:0EA8jl8Wje9ALRKC8Qlzyt,"Arthur Nery, Jason Dhakal",Happy w u,Viva Records,21,64,55,508876
69,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",69,79,99,493160
70,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,68,56,485743
71,spotify:track:2q3LzfknBzye3xXjgiJBjS,"Gatton, Brooke Young",When Scars Become Art,Gatton,19,66,27,481016
72,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,29,63,17,475943
73,spotify:track:663vZfMh88Uo2bfTx6wiE4,"Janine Teñoso, Arthur Nery",Pelikula,Viva Records,32,72,55,465394
74,spotify:track:3ueq4reab02CypseErxvwS,South Border,Rainbow,PolyEast Records,53,74,293,463045
75,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,10,76,44,455608
76,spotify:track:092cPwFlwBXdB3QF3X469W,Arthur Nery,Binhi,O/C Records,13,77,72,448277
77,spotify:track:0dcnrLo8s1rhjm8euGjI4n,TREASURE,DARARI,YG Entertainment,8,75,24,447059
78,spotify:track:4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),Republic Records,37,82,34,445407
79,spotify:track:4mc3rUoMwwiNTHA4al9nNd,Lola Amour,Fallen,Warner Music Philippines,79,91,5,441158
80,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,"Big Machine Records, LLC",80,94,42,439757
81,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,81,96,3,430963
82,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,82,87,3,430429
83,spotify:track:43t6oyPWJ67nifk7JgDgoI,"Cliff, Yden",Sunsets With You,Warner Music Philippines,60,80,15,427983
84,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,86,82,427629
85,spotify:track:1ZY1PqizIl78geGM4xWlEA,Taylor Swift,Gorgeous,"Big Machine Records, LLC",11,130,17,425010
86,spotify:track:2v5VIWMjZxeiG52KckiXxS,Silent Sanctuary,Ikaw Lamang,Universal Records,48,78,137,424320
87,spotify:track:24ngpWhBOxKJtIPnzSNX8c,December Avenue,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),Tower of Doom Music,12,83,147,417178
88,spotify:track:267RumTt5KeLBGl2KWxBL0,TJ Monterde,Dating Tayo,PolyEast Records,28,81,100,416177
89,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,88,88,59,410750
90,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,BIGHIT MUSIC,3,71,8,407453
91,spotify:track:4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Give Me Your Forever,Universal Music Philippines Inc.,21,85,40,404620
92,spotify:track:3OpGUlDmRUXh0NkIYWoIlD,Parokya Ni Edgar,Your Song,Universal Records,34,84,256,404247
93,spotify:track:6zJejIfVYLgjud3lTk4DLB,Rosa Linn,SNAP,Columbia,93,-1,1,394865
94,spotify:track:1t7AA4xxqEseapeIJCiQ5l,APO Hiking Society,When I Met You,Universal Records,49,93,72,393806
95,spotify:track:4u8RkgV6P4TLi89SmlUtv8,IV Of Spades,Mundo,Warner Music Philippines,1,98,234,388072
96,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,2,97,42,380467
97,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,23,95,55,379747
98,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,Olivia Rodrigo PS,5,112,63,378765
99,spotify:track:5l9g7py8RCblcvbZgGQgSd,Ben&Ben,Pagtingin,Sony Music Entertainment,2,100,170,373956
100,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,STARSHIP Entertainment,16,89,18,372453
101,spotify:track:04qDUASuSfVp6fktfsxVej,"Caleb Santos, Viva Music Publishing Inc.",I Need You More Today,Viva Records Corporation,89,99,124,368897
102,spotify:track:3FuZUeJbuejOfpbvuqp8QL,Arthur Miguel,"Dito, Sa Ilalim Ng Buwan",Warner Music Philippines,58,102,29,367562
103,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,13,113,45,363474
104,spotify:track:3U8MbjNAP56IrzpbEFn1qN,Al James,Pa-umaga,ProducedbyJimP,53,107,66,360058
105,spotify:track:296nXCOv97WJNRWzIBQnoj,LE SSERAFIM,FEARLESS,SOURCE MUSIC,48,103,14,358423
106,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,106,-1,1,356938
107,spotify:track:1oFAF1hdPOickyHgbuRjyX,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,11,109,67,352730
108,spotify:track:0WOvSEVpUGkNufX0w0M06F,LANY,13,Polydor Records,15,105,182,350989
109,spotify:track:0kn2gu8Pd03DiYHzRvX2Xk,Conan Gray,Wish You Were Sober,Republic Records,109,125,21,349947
110,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,13,117,106,349777
111,spotify:track:4JSDhJVmo2UqdF7nxbyenn,Hale,Kung Wala Ka,Polyeast,47,111,278,348620
112,spotify:track:2MJz8BxxMsERULatmBikDH,Pink Sweat$,At My Worst,Atlantic Records,1,104,100,347999
113,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,113,141,4,346057
114,spotify:track:1Hu42ZLWG9dHaVOPiWyEmE,Maximillian,Beautiful Scars,Universal Music A/S,1,131,109,344068
115,spotify:track:4Yxc55NX3tAXC2mHRAhtcW,"Olivia Rodrigo, Disney","All I Want - From ""High School Musical: The Musical: The Series""",Walt Disney Records,113,121,26,343427
116,spotify:track:4y5bvROuBDPr5fuwXbIBZR,Taylor Swift,Paper Rings,Taylor Swift,30,134,31,342622
117,spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,9,116,39,341580
118,spotify:track:4CnA1w7WulFrRPehCWDULz,Alfie Castley,Teenage Mona Lisa,Alfie Castley,30,106,28,341466
119,spotify:track:4HBZA5flZLE435QTztThqH,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",1,115,117,340160
120,spotify:track:2IAR0DziHCjSu16gR4ihvy,Bruno Major,Nothing,Bruno Major,20,114,40,338309
121,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,3,122,271,338259
122,spotify:track:0UHB9METy4VCXNgkcGqHqS,Rihanna,Kiss It Better,Roc Nation / Rihanna,74,110,14,337226
123,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,31,119,53,336918
124,spotify:track:1yDiru08Q6omDOGkZMPnei,Ben&Ben,Maybe The Night,Warner Music Philippines,1,120,236,335935
125,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,15,108,53,335320
126,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,12,160,45,332625
127,spotify:track:46HNZY1i7O6jwTA7Slo2PI,"Coldplay, BTS",My Universe,Parlophone UK,1,118,45,330325
128,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),Golden Child Recordings,12,133,241,328856
129,spotify:track:6I2tqFhk8tq69iursYxuxd,SEVENTEEN,HOT,PLEDIS Entertainment,41,101,10,328717
130,spotify:track:4VoJCUgNmnqG2qF0peDBkw,Stephen Speaks,Out of My League,Rippley Records,72,124,201,327855
131,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,LANY,Malibu Nights,Polydor Records,2,123,200,326826
132,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,-1,39,325203
133,spotify:track:3QwiidVHfeE9y5jl4n2MTC,SEVENTEEN,_WORLD,PLEDIS Entertainment,90,90,3,324493
134,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,Taylor Swift,Getaway Car,"Big Machine Records, LLC",134,161,9,317903
135,spotify:track:2aTKrdenCq5qBOoJPFdn4P,Jamie Miller,Here's Your Perfect,Atlantic Records,2,128,60,317860
136,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,108,126,5,316601
137,spotify:track:1nX1b7kRg5a6XKAq7uQOpr,ITZY,SNEAKERS,Republic Records - ITZY,83,92,3,313787
138,spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,Universal Republic Records,16,165,14,312035
139,spotify:track:7vu53hQrIoH7UGeh6qcct1,Zack Tabudlo,As You Are,Universal Music Philippines Inc.,120,132,14,310867
140,spotify:track:20JlaQj9irFjFb8X0SKKS7,Moira Dela Torre,Before It Sinks In,Star Music,80,136,42,310624
141,spotify:track:6LJ1p1h5EcMK4VPeCLDSoF,Shanti Dope,Nadarang,Universal Records,3,159,126,309106
142,spotify:track:7mFj0LlWtEJaEigguaWqYh,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,300 Entertainment,83,127,18,308652
143,spotify:track:2BgD4nRyx9EZ5o8YEnjRSV,"December Avenue, Moira Dela Torre",Kung 'Di Rin Lang Ikaw,Tower of Doom Music,1,143,211,307248
144,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,24,138,46,307147
145,spotify:track:00mBzIWv5gHOYxwuEJXjOG,December Avenue,Sa Ngalan Ng Pag-Ibig,Tower of Doom Music,2,145,232,305691
146,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,1,135,293,304750
147,spotify:track:2v6jmF6VQWS96x6tSg05IC,Arthur Nery,TAKE ALL THE LOVE,Viva Records,65,156,33,303197
148,spotify:track:0dJPIIlTmVM0lambbFgAYq,December Avenue,Eroplanong Papel,Tower of Doom Music,89,140,51,302053
149,spotify:track:0Jlcvv8IykzHaSmj49uNW8,Taylor Swift,the 1,Taylor Swift,2,-1,12,301521
150,spotify:track:22Nd3GuO7sHopPjdKccRcq,mrld,An Art Gallery Could Never Be As Unique As You,O/C Records,129,142,14,300741
151,spotify:track:2bOIWTTDL1XmHcaPWaCdek,Ric Segreto,Don't Know What to Say - Don't Know What to Do,Vicor Music Corporation,151,179,10,300712
152,spotify:track:3nqqDo8CcCLke3ZoTgiOKf,The Script,The Man Who Can't Be Moved,Epic/Phonogenic,99,147,127,300206
153,spotify:track:6FIEuf1JIzmCtach0gXpeG,Up Dharma Down,Tadhana,Viva Records,28,177,281,300081
154,spotify:track:573EXMFHsEKPRSy08G91Sr,"Katharine McPhee, Jason Reeves",Terrified,KATHARINE MCPHEE,105,151,93,299324
155,spotify:track:1NUw61RX4Wtmxw7CLiP4kP,Moira Dela Torre,Paubaya,Star Music,1,178,82,298119
156,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,85,-1,4,296167
157,spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,Cheating on You,Artist Partner,13,150,65,295612
158,spotify:track:0tr6XR58KBdDYd8qvHVTs8,Taylor Swift,Back To December,"Big Machine Records, LLC",148,184,4,295205
159,spotify:track:65sEZZaxTjLMD8vNgPoMz5,Magnus Haven,Imahe,Warner Music Philippines,1,164,151,294912
160,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,2,158,64,294654
161,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,80,152,106,294021
162,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,22,169,97,293725
163,spotify:track:0087fDVeNhuyMtST91RMjv,Silent Sanctuary,Kundiman,Universal Records,80,137,71,290921
164,spotify:track:1X4l4i472kW5ofFP8Xo0x0,I Belong to the Zoo,Sana - Single Version,I Belong to the Zoo,1,129,211,290416
165,spotify:track:1pi3VCMlGVaXvrjlVOkBPN,Music Hero,KLWKN,Tape Inc.,6,180,115,289179
166,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,Columbia,54,155,133,288809
167,spotify:track:4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty (Get Money),Republic Records,157,157,2,287706
168,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,BTS,Dynamite,BIGHIT MUSIC,1,153,102,287310
169,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,11,194,7,286867
170,spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,38,144,22,286680
171,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,4,167,93,285337
172,spotify:track:21XjtaAEZxurElfPGSKrv9,Just Hush,Maikee's Letters,Viva Records Corporation,108,170,39,282703
173,spotify:track:2GThBgzZoZfz0lx1JjBwfe,New West,Those Eyes,199x,151,166,7,282290
174,spotify:track:4Yp8lnGcIde2SWAqrMM3v9,The Itchyworms,Akin Ka Na Lang,Universal Records,97,176,25,281834
175,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Atlantic Records,53,168,240,280766
176,spotify:track:3vGkyQlCw8LklNip0ZUELC,Join The Club,Nobela,Universal Music Philippines Inc.,31,186,128,280234
177,spotify:track:5ZpSUdy5wL5Hvwsqz6JCAt,Stephen Speaks,Passenger Seat,Rippley Records,75,200,75,279323
178,spotify:track:0PQ84nbR1Owkr7RtGBmZI7,Arthur Miguel,Crazier,Warner Music Philippines,39,171,56,277723
179,spotify:track:3vZk7OAUjMtVDNC852aNqi,NIKI,Oceans & Engines,88rising Music,75,163,4,277542
180,spotify:track:135ggzbjOogZ75IQ0LQi8r,Eraserheads,Ang Huling El Bimbo,Musiko,43,185,281,275227
181,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002,Atlantic Records UK,4,172,224,274666
182,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,5,187,138,272954
183,spotify:track:5UhpceEr5XmbVwyoIUIRnh,Orange & Lemons,Hanggang Kailan - Umuwi Ka Na Baby,Universal Records,48,192,183,270869
184,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,24,173,47,265364
185,spotify:track:6wBpO4Xc4YgShnENGSFA1M,LE SSERAFIM,Sour Grapes,SOURCE MUSIC,154,154,4,264814
186,spotify:track:5elW2CKSoqjYoJ32AGDxf1,ENHYPEN,Polaroid Love,BELIFT LAB,15,174,30,264031
187,spotify:track:4EWBhKf1fOFnyMtUzACXEc,Rex Orange County,Pluto Projector,Rex Orange County,187,193,2,262700
188,spotify:track:5nMKJJ5Rl6X1yn58aVeICO,December Avenue,Bulong,Tower of Doom Music,8,183,133,262556
189,spotify:track:6PRy17C5LiiN7VCLS6IA98,ENHYPEN,Future Perfect (Pass the MIC),BELIFT LAB,78,148,5,262436
190,spotify:track:4j5ffIFh7bFT7GZciP1TCy,"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",Warner Music Nashville,2,189,148,261545
191,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,9,182,69,260602
192,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,7,188,93,259603
193,spotify:track:1tC2PLqLeJXt0VlgOYpc6m,Munimuni,Bawat Piyesa,Marilag Records and Productions Co.,175,175,12,258426
194,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,20,-1,47,257432
195,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,2,196,72,256102
196,spotify:track:12M5uqx0ZuwkpLp5rJim1a,Taylor Swift,Cornelia Street,Taylor Swift,22,-1,8,255973
197,spotify:track:0Ryd8975WihbObpp5cPW1t,"Ariana Grande, Social House",boyfriend (with Social House),Republic Records,13,181,27,255729
198,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,"Taylor Swift, Bon Iver",exile (feat. Bon Iver),Taylor Swift,3,-1,13,254295
199,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,85,195,201,254111
200,spotify:track:0SzvXb3BAWgTHACbIXGNPa,Kamikazee,Halik,Universal Records,118,191,49,253921
