,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
78,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,0.465,0.592,4,-4.905,1,0.029300000000000003,0.020800000000000003,0.117,139.867,343018,4
79,drivers license,Olivia Rodrigo,0.561,0.431,10,-8.81,1,0.057800000000000004,0.768,0.137,143.875,242013,4
80,Lover,Taylor Swift,0.359,0.543,7,-7.582,1,0.09190000000000001,0.492,0.453,68.534,221307,4
81,Malibu Nights,LANY,0.559,0.422,11,-11.89,1,0.195,0.7010000000000001,0.191,74.002,286928,4
82,good 4 u,Olivia Rodrigo,0.5630000000000001,0.664,9,-5.044,1,0.154,0.335,0.6880000000000001,166.928,178147,4
83,Need You,"Bosx1ne, John Roa, Skusta Clee, Emcee Rhenn, Flow G, Bullet-D, Kent Mnl",0.637,0.596,1,-6.864,1,0.127,0.484,0.291,74.635,354072,4
84,Pelikula,"Janine Teñoso, Arthur Nery",0.676,0.259,6,-12.127,1,0.059800000000000006,0.801,0.314,75.031,204693,4
85,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",0.741,0.6910000000000001,10,-7.395,0,0.06720000000000001,0.0221,0.892,150.087,212353,4
86,Darl+ing,SEVENTEEN,0.71,0.686,0,-4.926,1,0.0713,0.296,0.483,96.06,176547,4
87,Ang Huling El Bimbo,Eraserheads,0.524,0.503,6,-11.79,1,0.0245,0.184,0.436,89.497,447333,4
88,Running Up That Hill (A Deal With God),Kate Bush,0.629,0.547,10,-13.123,0,0.055,0.72,0.197,108.375,298933,4
89,Iris,The Goo Goo Dolls,0.315,0.715,11,-8.072,0,0.0362,0.00125,0.497,155.925,289533,3
90,Sino,Unique Salonga,0.676,0.43,11,-10.563,1,0.023200000000000002,0.169,0.226,104.982,280427,4
91,positions,Ariana Grande,0.737,0.802,0,-4.771,1,0.0878,0.468,0.682,144.015,172325,4
92,Sunroof,"Nicky Youre, dazy",0.768,0.714,10,-5.11,1,0.040100000000000004,0.352,0.842,131.443,163026,4
93,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0.586,0.616,5,-7.964,1,0.0324,0.182,0.719,148.088,242096,4
94,Titig,"MC Einstein, Flow G, Jekkpot, Yuridope",0.797,0.447,8,-8.452,1,0.28,0.146,0.645,79.003,259115,4
95,DON QUIXOTE,SEVENTEEN,0.733,0.837,1,-4.537,1,0.09920000000000001,0.0671,0.606,76.453,172360,4
96,this is what falling in love feels like,JVKE,0.424,0.438,11,-5.53,1,0.0553,0.617,0.325,128.983,120308,5
97,The Feels,TWICE,0.808,0.903,9,-2.179,1,0.0729,0.08990000000000001,0.922,120.044,198053,4
98,At My Worst,Pink Sweat$,0.8130000000000001,0.41500000000000004,0,-5.926,1,0.0349,0.777,0.667,91.921,170345,4
99,favorite crime,Olivia Rodrigo,0.369,0.272,9,-10.497,1,0.0364,0.866,0.218,172.929,152667,4
