,Song Name,Artist Name,Song Familiarity,Artist Familiarity,AR[bad-good],AR[distasteful-tasty],AR[dull-exciting],AR[tasteless-tasteful],AR[unimaginative-creative],AR[untalented-talented],AR[unpleasant-pleasant],AR[forgettable-memorable],AR[boring-interesting],NR[listen to similar songs],NR[share to my friends],NR[add to my playlist]
30,Wet The Bed (feat. Ludacris),"Chris Brown, Ludacris",4.25,4.85,4.35,3.9,4.3,3.9,4.1,4.55,4.25,4.55,4.7,4.1,3.5,3.65
31,Ikaw Lang,NOBITA,5.45,3.3,5.95,5.7,5.4,5.9,5.25,5.85,6.3,5.6,5.65,5.7,5.55,5.65
32,Paraluman,Adie,4.85,3.2,5.65,5.55,4.95,5.75,5.6,5.85,6.0,5.35,5.35,5.35,5.0,5.2
33,Creepin’ (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",3.45,5.1,4.9,4.5,4.35,4.4,4.95,5.4,4.85,4.2,4.2,4.5,3.7,3.65
34,Kumpas - Theme of “2 Good 2 Be True”,Moira Dela Torre,5.0,6.2,5.95,5.9,5.05,5.85,5.45,6.0,5.95,5.2,5.5,5.55,4.6,4.6
35,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",5.15,4.9,4.35,4.05,4.65,4.0,4.4,4.75,4.3,4.9,4.6,3.9,3.2,3.35
36,Jopay,Mayonnaise,5.45,4.3,5.65,5.45,5.55,5.6,5.25,5.35,5.9,5.6,5.6,5.55,5.15,5.05
37,Bahala Na,Kenaniah,2.05,1.65,5.65,5.75,5.65,5.65,5.5,5.45,5.95,4.95,5.5,5.25,4.9,4.95
38,Shinunoga E-Wa,Fujii Kaze,3.95,2.25,5.4,5.3,4.95,4.95,5.3,5.2,5.2,4.8,5.2,4.75,4.35,4.4
39,Shut Down,BLACKPINK,5.65,6.3,4.9,4.75,5.25,4.55,4.9,5.0,4.8,5.2,4.85,4.55,4.35,4.1
40,Under The Influence,Chris Brown,4.8,5.5,4.9,4.65,4.45,4.55,4.8,5.2,4.85,4.45,4.45,4.3,3.8,3.8
41,Die For You,Joji,4.65,5.5,5.8,5.5,5.0,5.4,5.5,5.7,6.0,5.4,5.45,5.3,5.05,5.2
42,Nobody Gets Me,SZA,3.3,4.95,5.8,5.55,5.3,5.6,5.45,6.05,5.8,5.05,5.2,5.3,5.2,4.9
43,Hype Boy,NewJeans,4.0,3.8,5.45,5.5,5.9,5.5,5.65,5.8,5.75,5.55,5.8,5.2,4.9,5.15
44,Until I Found You,Stephen Sanchez,6.25,3.85,6.2,5.8,5.35,5.75,6.0,6.2,6.1,6.2,5.85,5.8,5.4,5.55
45,Babalik Sa’yo (from “2 Good 2 Be True”),Moira Dela Torre,4.65,5.45,5.8,5.45,5.15,5.5,5.35,5.95,6.0,5.3,5.45,5.65,4.65,5.1
46,Fall In Love Alone,Stacey Ryan,4.0,1.75,5.85,5.55,5.7,5.6,5.6,5.95,6.05,5.65,5.65,5.7,4.8,5.2
47,Pano,Zack Tabuldo,5.55,5.05,5.8,5.7,5.2,5.7,5.1,5.75,5.9,5.35,5.1,5.5,4.9,5.25
48,Pasilyo,SunKissed Lola,3.4,2.0,6.1,5.85,5.4,5.65,5.55,6.0,6.05,5.3,5.6,5.4,5.1,5.3
49,Tahanan,Adie,4.2,4.2,5.8,5.7,5.3,5.55,5.45,5.95,6.15,5.2,5.1,5.4,4.95,5.15
