,track_name,artist,artist_collab,chart_history,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09
11,Midnight Rain,taylor swift,0,73.0,79,100,88,64,52,53,57,53,66,61,55,53,50,41,53,71,46,48,45,39,39,55,63,64,39,57,46,50,61,68,68,50,49,42,50,50,64,65,82,63,58,48,65,61,53,44,51,53,45,50,56,54,40,44,50,44,66,63,64,48,48,43,49,59,67,62,52,51,53,50
12,Umaasa,calein,0,16.0,0,28,0,100,0,0,0,0,0,42,0,0,22,0,0,81,0,0,0,24,69,45,34,37,29,0,0,0,55,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,38,0,76,0,0,0,0,0,0,0,0,0,0,0
13,Fallen,lola amour,0,36.0,49,0,43,0,71,64,18,44,30,0,76,0,43,18,37,43,0,35,0,35,0,27,41,0,0,0,32,93,0,0,39,0,22,48,0,21,24,24,0,53,28,0,0,0,70,81,47,22,41,100,0,0,44,0,0,31,21,22,0,0,80,0,0,0,0,0,16,0,24,49
14,Die For You,the weeknd,0,73.0,54,35,35,39,46,45,26,16,0,43,35,12,13,35,34,14,48,9,21,25,27,70,28,28,27,0,0,21,29,74,56,0,39,40,49,64,0,41,78,67,63,41,53,45,50,32,32,32,46,51,59,64,39,24,16,36,81,95,100,40,45,60,70,53,86,61,35,44,45,54
15,As It Was,harry styles,0,73.0,36,0,0,7,17,0,0,24,10,21,9,14,28,0,11,0,0,8,34,20,6,12,25,7,19,9,0,8,19,19,10,0,13,20,17,30,0,0,100,57,43,26,20,30,16,20,25,10,15,27,24,25,16,34,21,21,0,19,23,10,0,11,21,31,17,9,27,29,23,27
16,Ikaw Lang,nobita,0,73.0,0,74,25,0,22,40,22,16,53,0,18,0,89,94,73,25,18,29,32,16,15,0,22,28,39,0,26,0,28,18,0,0,0,43,58,0,39,0,31,0,0,17,48,27,31,23,16,0,26,40,100,0,24,0,18,0,34,20,17,30,0,36,13,0,41,0,0,25,16,0
17,Jopay,mayonnaise,0,51.0,38,100,36,0,15,15,42,0,32,25,0,0,31,0,0,0,25,0,0,39,14,32,35,22,0,0,18,19,32,66,33,23,24,0,16,46,0,19,24,24,0,0,26,33,17,26,17,43,0,0,0,30,27,0,0,24,0,19,0,0,0,23,0,28,51,16,37,12,0,0
18,Die For You,joji,0,73.0,53,62,0,0,0,77,0,62,0,45,39,0,0,26,22,47,0,0,25,100,68,24,65,19,38,64,42,34,26,73,52,0,34,38,28,21,49,0,59,22,29,49,23,30,0,0,40,60,0,0,31,77,37,71,65,63,65,0,0,38,33,51,22,53,0,37,0,17,32,0
19,Fall In Love Alone,stacey ryan,0,20.0,0,34,0,0,0,0,0,25,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,59,0,0,0,100
20,Left and Right (Feat. Jung Kook of BTS),charlie puth,1,73.0,0,0,0,30,25,37,19,17,0,17,30,100,18,0,0,0,0,0,0,0,31,0,18,30,0,0,0,0,0,19,0,0,38,0,19,18,0,0,0,0,0,0,22,0,0,19,0,0,0,0,0,0,24,28,0,0,0,23,26,0,0,0,28,0,28,34,0,0,0,17
21,ANTIFRAGILE,le sserafim,0,21.0,0,0,0,56,43,55,41,42,82,26,0,45,40,0,43,0,28,32,74,35,49,0,0,0,47,0,0,77,29,39,38,60,0,0,56,35,46,34,0,59,0,0,32,49,0,0,0,78,0,0,37,0,0,51,0,0,0,46,0,0,29,83,35,0,0,0,0,0,18,100
22,THE SHADE,rex orange county,0,73.0,0,0,17,19,22,35,0,0,19,0,0,34,13,19,24,0,50,17,23,27,0,0,0,0,14,13,31,0,0,0,21,0,17,27,13,0,15,0,0,15,38,0,0,21,47,0,13,0,100,18,51,0,0,27,23,30,0,22,84,25,20,23,13,0,0,26,0,0,62,17
23,Isa lang,arthur nery,0,73.0,57,78,35,33,0,0,43,47,40,85,59,16,29,18,59,100,66,31,0,33,59,41,28,68,20,18,33,68,59,0,73,41,38,29,16,26,65,42,19,43,0,12,52,45,26,52,35,16,30,48,83,40,29,27,40,41,61,55,41,0,20,23,12,15,25,0,36,31,25,26
24,Old Love,yuji,1,25.0,68,0,0,0,21,22,0,0,0,0,23,0,0,0,0,0,0,22,0,0,0,0,45,0,0,0,28,0,0,0,0,0,20,0,0,19,0,38,25,0,0,0,42,0,0,0,39,68,0,45,0,0,21,0,0,64,100,0,37,0,0,19,33,18,0,0,22,0,0,0
25,City Girl,shanti dope,0,73.0,0,0,0,0,0,0,26,0,29,0,23,38,0,34,0,0,100,0,44,28,0,69,25,70,0,52,0,0,25,0,87,45,0,23,39,26,0,27,30,0,23,0,40,0,73,0,0,29,49,26,0,0,0,0,0,0,0,45,0,0,0,0,36,31,0,0,39,0,91,0
26,Bahala Na,kenaniah,0,21.0,100,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,32,0,0,0,0,41,32,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,31,39,48,0,0,38,0,0,0,0,0,33,0,33,0,39,0,0,0,47,0,0,0,0,0,0,78,0,0,0,0
27,Paraluman,adie,0,73.0,27,0,23,26,10,41,11,34,41,0,27,0,23,17,10,30,9,15,27,28,27,23,12,14,23,0,28,10,32,20,0,15,39,100,19,44,31,20,54,14,37,34,35,21,31,28,50,16,18,37,27,30,10,19,14,0,0,28,48,0,14,26,0,0,21,13,8,0,14,12
28,Nobody Gets Me,sza,0,73.0,100,84,81,59,90,61,49,71,86,48,48,55,75,51,57,81,46,41,50,49,57,67,56,68,40,40,45,46,69,65,79,51,43,33,27,31,36,40,31,20,40,43,35,60,57,39,30,30,28,24,18,37,21,38,13,46,58,32,48,20,26,35,32,24,38,48,32,17,18,12
29,Pano,zack tabudlo,0,73.0,34,0,100,0,21,0,0,0,40,31,0,0,74,23,0,58,24,45,0,31,0,41,82,47,0,0,0,0,0,0,66,21,0,0,26,0,59,51,30,43,22,0,43,45,34,0,34,0,0,40,57,68,0,27,50,0,39,0,26,0,0,32,0,51,42,31,0,19,32,0
30,Pasilyo,sunkissed lola,0,11.0,27,0,0,35,18,0,33,40,23,0,0,0,17,28,0,0,20,0,19,24,32,0,51,22,19,37,52,35,30,34,62,56,0,42,20,0,32,0,25,26,42,21,0,57,100,0,56,43,0,0,40,23,28,43,0,0,32,71,23,42,0,39,0,36,0,34,0,16,0,58
31,Creepin' (with The Weeknd & 21 Savage),metro boomin,1,14.0,0,0,93,68,0,0,0,0,54,0,0,0,0,99,0,0,0,0,80,45,0,0,0,0,0,0,0,65,59,0,77,47,0,0,82,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,64,0,0,0,0,0,0,0,0,100,0,0,0,0,47,0,0
32,Angel Baby,troye sivan,0,73.0,0,26,24,0,0,0,35,0,0,18,0,0,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,16,15,0,100,0,0,24,0,0,0,0,0,17,0,0,0,0,15
33,Tahanan,adie,0,73.0,27,0,23,26,10,41,11,34,41,0,27,0,23,17,10,30,9,15,27,28,27,23,12,14,23,0,28,10,32,20,0,15,39,100,19,44,31,20,54,14,37,34,35,21,31,28,50,16,18,37,27,30,10,19,14,0,0,28,48,0,14,26,0,0,21,13,8,0,14,12
34,Glimpse of Us,joji,0,73.0,53,62,0,0,0,77,0,62,0,45,39,0,0,26,22,47,0,0,25,100,68,24,65,19,38,64,42,34,26,73,52,0,34,38,28,21,49,0,59,22,29,49,23,30,0,0,40,60,0,0,31,77,37,71,65,63,65,0,0,38,33,51,22,53,0,37,0,17,32,0
35,golden hour,jvke,0,27.0,0,0,0,0,0,0,42,0,0,0,0,0,0,36,40,0,31,0,0,28,0,27,0,0,0,0,31,0,100,0,34,0,0,0,24,52,33,0,38,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,38,0,0,0,0,0,0,54,0,32,0,0,0,0
36,Shinunoga E-Wa,fujii kaze,0,0.0,40,46,0,32,14,0,36,0,46,36,29,22,16,100,31,0,50,35,34,38,0,30,74,35,0,65,0,24,43,56,34,36,21,48,38,44,38,15,23,32,0,16,44,48,29,0,0,0,35,69,45,34,25,0,16,0,24,0,24,0,0,31,0,50,18,20,17,63,28,12
37,Pagsamo,arthur nery,0,73.0,57,78,35,33,0,0,43,47,40,85,59,16,29,18,59,100,66,31,0,33,59,41,28,68,20,18,33,68,59,0,73,41,38,29,16,26,65,42,19,43,0,12,52,45,26,52,35,16,30,48,83,40,29,27,40,41,61,55,41,0,20,23,12,15,25,0,36,31,25,26
38,Sure Thing,miguel,0,13.0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,24,0,100,35,0,62,41,0,0,0,0,0,0,41,0,0,0,55,32,0,62,0,0,53,69,25,50,0,37,0,0,0,68,0,28,0,0,0,0,0,55,0,42,23,0,0,0,0,0,0,31,0
39,Hype Boy,newjeans,0,31.0,39,67,27,79,63,74,98,50,71,60,75,26,52,84,51,62,56,70,38,73,55,31,100,62,46,90,31,53,48,69,78,75,53,59,84,70,82,50,99,61,28,43,48,63,58,89,14,48,59,19,44,35,11,33,14,53,53,91,36,24,44,38,51,0,45,46,10,0,30,28
40,Until I Found You,stephen sanchez,0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,0,0,43,0,0,0,0,0,0,0,0,0,100,0,0,22,0,15,95,0,0,17,0,0,39,0,0,17,0,59,23,0,30,14,0,0,0,0,0,0,0,0,22,0,30,0,0,38,0,0,0,0,0,0,0,0
41,Kumpas - Theme of “2 Good 2 Be True”,moira dela torre,0,73.0,19,84,57,38,13,19,17,0,23,22,32,12,26,36,50,8,21,32,26,35,30,46,41,59,24,35,45,0,40,44,26,0,45,21,32,66,100,11,28,72,52,72,32,40,56,45,14,40,45,33,53,30,26,34,32,73,46,58,41,17,0,24,44,37,42,0,9,20,0,0
42,Shirt,sza,0,73.0,100,84,81,59,90,61,49,71,86,48,48,55,75,51,57,81,46,41,50,49,57,67,56,68,40,40,45,46,69,65,79,51,43,33,27,31,36,40,31,20,40,43,35,60,57,39,30,30,28,24,18,37,21,38,13,46,58,32,48,20,26,35,32,24,38,48,32,17,18,12
43,Muli,ace banzuelo,0,43.0,0,0,43,0,0,36,30,0,0,0,0,0,28,0,38,0,0,0,0,0,0,0,0,75,43,0,0,0,81,0,42,0,32,0,29,0,0,33,0,35,0,0,0,0,0,63,0,0,0,48,0,0,0,0,0,37,0,0,0,0,0,100,0,0,0,64,0,0,28,26
44,I Wanna Be Yours,arctic monkeys,0,46.0,26,6,18,0,20,17,11,0,12,21,12,0,15,5,9,17,10,8,8,11,0,5,0,0,6,11,7,6,0,11,14,9,11,9,0,8,9,13,0,14,7,0,18,14,0,14,0,9,15,0,13,10,11,0,15,7,11,6,12,8,13,11,18,22,15,26,100,60,26,23
45,Kagome,lo ki,0,46.0,37,33,0,23,0,0,0,0,57,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,42,0,0,30,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,100,0,0,33,22,0,0,0,0,0,29,0,0,0,0,0,0,0,65,37,0,75,0,20,19,16
46,OMG,newjeans,0,31.0,39,67,27,79,63,74,98,50,71,60,75,26,52,84,51,62,56,70,38,73,55,31,100,62,46,90,31,53,48,69,78,75,53,59,84,70,82,50,99,61,28,43,48,63,58,89,14,48,59,19,44,35,11,33,14,53,53,91,36,24,44,38,51,0,45,46,10,0,30,28
47,double take,dhruv,0,73.0,0,0,43,0,32,0,0,0,0,0,0,0,0,0,51,0,0,45,0,0,0,31,44,0,0,0,100,44,47,0,0,0,60,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,37,0,0,0,0,40,0,0,0,0,0,31,0,99,0,0,0,0,0
48,Yakap,zack tabudlo,0,73.0,34,0,100,0,21,0,0,0,40,31,0,0,74,23,0,58,24,45,0,31,0,41,82,47,0,0,0,0,0,0,66,21,0,0,26,0,59,51,30,43,22,0,43,45,34,0,34,0,0,40,57,68,0,27,50,0,39,0,26,0,0,32,0,51,42,31,0,19,32,0
49,Shut Down,blackpink,0,73.0,90,95,77,84,34,43,36,52,80,64,60,68,71,75,76,90,48,44,30,52,31,43,68,45,45,48,54,31,57,100,67,42,49,53,36,70,64,88,25,57,64,54,58,79,54,37,38,67,49,39,53,54,36,61,47,51,59,50,35,36,49,63,44,66,52,69,68,59,57,63
