,track_name,artist_names,week1 streams,week2 streams,week3 streams,week4 streams,week5 streams,week6 streams,week7 streams,week8 streams,week9 streams,week10 streams
24,Old Love,"yuji, putri dahlia",1139666,1174002,1172365,1263898,1212126,1262852,1226761,1185906,1196589,1181855
25,City Girl,Shanti Dope,1127974,1119934,1265896,1223767,1203994,1240490,1219981,1168910,1125246,1195805
26,Bahala Na,Kenaniah,1077053,1113330,1185117,1384586,1518577,1474386,1390938,1430565,1464437,1506695
27,Paraluman,Adie,1037732,1089066,1044049,1141068,1207019,1221609,1203921,1180357,1153887,1249619
28,Nobody Gets Me,SZA,1032409,1161853,1392623,1452582,1380951,1317529,1166773,1110061,1205583,1121834
29,Pano,Zack Tabudlo,1027731,1052454,1066656,1201184,1211328,1236662,1189715,1202417,1241252,1281060
30,Pasilyo,SunKissed Lola,1013117,1473811,2488074,3290723,3120519,3640832,4069788,4216952,4303718,3952696
31,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",1010903,1105434,1278704,1466387,1390599,1398145,1327499,1321820,1500850,1383476
32,Angel Baby,Troye Sivan,1001915,995610,939616,964410,908439,873355,922939,848399,829101,822450
33,Tahanan,Adie,973117,932262,905810,1073896,1060727,1058375,1065234,1041398,1033433,1113586
34,Glimpse of Us,Joji,964789,977987,961490,996190,939774,915368,825261,794379,664671,685669
35,golden hour,JVKE,955248,1056869,1114594,1116808,1047856,1068857,1011861,982417,1030018,977167
36,Shinunoga E-Wa,Fujii Kaze,949281,920932,874489,884890,876630,826997,750933,739339,754861,554058
37,Pagsamo,Arthur Nery,947268,992974,910145,966221,1025821,986556,948916,948190,870516,984062
38,Sure Thing,Miguel,916066,1362864,1675113,1729736,1530148,1481294,1300867,1216535,1208381,1126967
39,Hype Boy,NewJeans,910661,1157412,1132383,1277321,1334958,1393659,1254903,1126010,1064642,1032706
40,Until I Found You,Stephen Sanchez,903493,811322,780445,788921,747915,771025,825442,802855,804892,848792
41,Kumpas - Theme of “2 Good 2 Be True”,Moira Dela Torre,899825,866334,760301,834056,879138,852111,789572,743134,727977,732432
42,Shirt,SZA,898649,952197,975725,988427,682848,693186,615964,570203,595553,536557
43,Muli,Ace Banzuelo,898304,897066,879693,945085,956637,891587,859375,788159,752102,803221
44,I Wanna Be Yours,Arctic Monkeys,895131,925200,924441,1011920,937207,934741,851045,852663,832521,897583
45,Kagome,Lo ki,889547,858743,727764,777523,657433,624356,534979,518428,487513,551875
46,OMG,NewJeans,853302,1817504,1908234,2259736,2622908,2793614,2726678,2535991,2471894,2439389
47,double take,dhruv,829695,867232,804139,951427,893286,872239,854812,888026,1020293,1045525
48,Yakap,Zack Tabudlo,813697,838887,864424,995041,950224,1027012,1008133,976429,984553,1016693
49,Shut Down,BLACKPINK,800298,769326,697505,677280,656124,691675,652161,600436,531163,547324
