,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,music_label,artist_collab,chart_history,mean_trends,stream1,stream2,stream3,stream4,stream5,stream6,stream7,stream8,stream9,stream_category
11,LIMBO,keshi,0.577,8.0,-11.792,0.0368,0.137,0.0841,129.923,212785.0,3,0.0,84.0,38.301587301587304,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
12,Tally,BLACKPINK,0.693,7.0,-5.997,0.0308,0.0942,0.447,129.942,184248.0,3,0.0,84.0,23.80952380952381,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0
13,Cruel Summer,Taylor Swift,0.552,9.0,-5.707,0.157,0.105,0.564,169.994,178427.0,3,0.0,84.0,28.714285714285715,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
14,Enchanted,Taylor Swift,0.535,8.0,-3.913,0.0273,0.169,0.228,81.975,352200.0,3,0.0,84.0,28.714285714285715,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0
15,panaginip,iluna,0.379,5.0,-12.412,0.037,0.0552,0.126,129.299,332406.0,1,0.0,19.0,23.428571428571427,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
16,Style,Taylor Swift,0.588,7.0,-5.595,0.0402,0.118,0.487,94.933,231000.0,3,0.0,84.0,28.714285714285715,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
17,Ikaw Pa Rin,mrld,0.412,4.0,-11.538,0.0307,0.168,0.306,108.926,191009.0,1,0.0,76.0,33.01587301587302,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,6.0
18,Say You Won't Let Go,James Arthur,0.358,10.0,-7.398,0.059,0.0902,0.494,85.043,211467.0,2,0.0,84.0,31.126984126984127,9.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
19,lowkey,NIKI,0.752,0.0,-8.18,0.0559,0.0869,0.227,117.901,171356.0,3,0.0,84.0,13.047619047619047,9.0,9.0,8.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0
20,Ghost,Justin Bieber,0.601,2.0,-5.569,0.0478,0.415,0.441,153.96,153190.0,2,0.0,84.0,56.12698412698413,9.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0
21,cardigan,Taylor Swift,0.613,0.0,-8.588,0.0424,0.25,0.551,130.033,239560.0,3,0.0,84.0,28.714285714285715,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
22,Lavender Haze,Taylor Swift,0.733,10.0,-10.489,0.08,0.157,0.0976,96.985,202396.0,3,0.0,84.0,28.714285714285715,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,9.0
23,Come Inside Of My Heart,IV Of Spades,0.676,10.0,-9.411,0.03,0.241,0.689,113.007,246396.0,3,0.0,84.0,44.98412698412698,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
24,Tadhana,Up Dharma Down,0.685,6.0,-13.2,0.0369,0.0809,0.508,155.977,222447.0,1,0.0,47.0,31.50793650793651,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
25,Sino,Unique Salonga,0.676,11.0,-10.563,0.0232,0.109,0.226,104.982,280427.0,1,0.0,17.0,32.15873015873016,8.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0
26,Higa,Arthur Nery,0.656,9.0,-10.538,0.0434,0.106,0.182,125.058,245760.0,1,0.0,84.0,48.65079365079365,8.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0
27,Players,Coi Leray,0.954,6.0,-5.817,0.16,0.0504,0.624,105.001,139560.0,3,0.0,-1.0,14.698412698412698,8.0,7.0,6.0,7.0,6.0,6.0,5.0,4.0,4.0,4.0
28,Pink Venom,BLACKPINK,0.794,0.0,-7.227,0.0761,0.276,0.69,90.016,186964.0,3,0.0,84.0,23.80952380952381,8.0,7.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,4.0
29,Blank Space,Taylor Swift,0.76,5.0,-5.412,0.054,0.0913,0.57,95.997,231827.0,3,0.0,84.0,28.714285714285715,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0
30,Is There Someone Else?,The Weeknd,0.702,9.0,-7.83,0.0313,0.156,0.608,134.951,199111.0,2,0.0,84.0,48.77777777777778,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0
31,Lover,Taylor Swift,0.359,7.0,-7.582,0.0919,0.118,0.453,68.534,221307.0,3,0.0,84.0,28.714285714285715,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,9.0
32,Ligaya,mrld,0.458,0.0,-5.249,0.0381,0.114,0.343,149.832,248800.0,3,0.0,76.0,33.01587301587302,7.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0
33,Set Me Free Pt.2,Jimin,0.585,0.0,-4.165,0.0565,0.124,0.564,132.09,200930.0,1,0.0,10.0,37.04761904761905,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,Cupid,FIFTY FIFTY,0.774,2.0,-8.2,0.0328,0.4,0.961,120.023,174253.0,3,0.0,12.0,67.92063492063492,7.0,8.0,8.0,9.0,9.0,8.0,7.0,6.0,5.0,5.0
35,Paninindigan Kita,Ben&Ben,0.624,4.0,-9.288,0.0308,0.357,0.75,113.204,312234.0,3,0.0,84.0,47.12698412698413,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0
36,Kathang Isip,Ben&Ben,0.491,10.0,-8.58,0.0301,0.152,0.295,126.921,318814.0,3,0.0,84.0,47.12698412698413,7.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0
37,Nahuhulog Na Sa'yo,Noah Alejandre,0.765,6.0,-7.549,0.0317,0.104,0.639,107.93,217037.0,3,0.0,-1.0,15.714285714285714,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0
38,Night Changes,One Direction,0.672,8.0,-7.747,0.0353,0.115,0.37,120.001,226600.0,2,0.0,84.0,54.84126984126984,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0
39,Araw-Araw,Ben&Ben,0.475,11.0,-8.39,0.0295,0.234,0.224,140.903,313952.0,3,0.0,84.0,47.12698412698413,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
40,Bumalik Ka Na Sa'kin,Silent Sanctuary,0.63,2.0,-8.581,0.04,0.0749,0.792,123.995,216387.0,1,0.0,-1.0,42.04761904761905,7.0,5.0,4.0,4.0,6.0,7.0,7.0,8.0,7.0,6.0
41,NVMD,Denise Julia,0.758,6.0,-4.533,0.108,0.0902,0.424,97.977,181224.0,1,0.0,-1.0,16.634920634920636,7.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0
42,Like Crazy,Jimin,0.629,7.0,-5.445,0.0419,0.357,0.362,120.001,212241.0,3,0.0,10.0,37.04761904761905,7.0,7.0,6.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0
43,YK,Cean Jr.,0.717,6.0,-7.872,0.0349,0.0721,0.538,118.005,170263.0,1,0.0,-1.0,8.11111111111111,7.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,7.0,6.0
44,Dandelions,Ruth B.,0.609,1.0,-2.958,0.0259,0.0864,0.454,116.959,233720.0,1,0.0,84.0,18.952380952380953,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
45,Sa Susunod na Habang Buhay,Ben&Ben,0.311,2.0,-8.889,0.032,0.114,0.274,177.158,288189.0,3,0.0,84.0,47.12698412698413,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0
46,BMW,"Because, Leslie",0.758,1.0,-9.799,0.0485,0.099,0.238,117.048,168205.0,1,1.0,84.0,81.88888888888889,6.0,6.0,5.0,6.0,6.0,9.0,9.0,9.0,9.0,8.0
47,august,Taylor Swift,0.532,5.0,-9.208,0.0331,0.0925,0.403,89.937,261923.0,3,0.0,84.0,28.714285714285715,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0
48,I Love You So,The Walters,0.575,10.0,-4.891,0.0358,0.115,0.466,75.977,160240.0,3,0.0,-1.0,10.634920634920634,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0
49,Mundo,IV Of Spades,0.705,6.0,-8.9,0.0376,0.0735,0.481,140.031,349713.0,3,0.0,84.0,44.98412698412698,6.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0
