,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,streams1
39,Araw-Araw,Ben&Ben,0.475,11,-8.39,0.0295,0.234,0.224,140.903,313952,785977
40,Bumalik Ka Na Sa'kin,Silent Sanctuary,0.63,2,-8.581,0.04,0.0749,0.792,123.995,216387,784691
41,NVMD,Denise Julia,0.758,6,-4.533,0.108,0.0902,0.424,97.977,181224,784419
42,Like Crazy,Jimin,0.629,7,-5.445,0.0419,0.357,0.362,120.001,212241,764007
43,YK,Cean Jr.,0.717,6,-7.872,0.0349,0.0721,0.538,118.005,170263,751700
44,Dandelions,Ruth B.,0.609,1,-2.958,0.0259,0.0864,0.454,116.959,233720,750444
45,Sa Susunod na Habang Buhay,Ben&Ben,0.311,2,-8.889,0.032,0.114,0.274,177.158,288189,735211
46,BMW,"Because, Leslie",0.758,1,-9.799,0.0485,0.099,0.238,117.048,168205,729377
47,august,Taylor Swift,0.532,5,-9.208,0.0331,0.0925,0.403,89.937,261923,729048
48,I Love You So,The Walters,0.575,10,-4.891,0.0358,0.115,0.466,75.977,160240,728760
49,Mundo,IV Of Spades,0.705,6,-8.9,0.0376,0.0735,0.481,140.031,349713,727066
50,Every Summertime,NIKI,0.628,6,-4.227,0.0424,0.0978,0.723,78.996,215687,704132
51,Don't Blame Me,Taylor Swift,0.615,9,-6.719,0.0386,0.0607,0.193,135.917,236413,701046
52,Musika,Dionela,0.63,9,-7.14,0.029,0.122,0.501,134.774,246667,698171
53,Ano Na? (feat. Kiyo),"Calvin De Leon, Kiyo",0.843,9,-8.114,0.325,0.577,0.445,71.007,162029,697112
54,"You're On Your Own, Kid",Taylor Swift,0.696,2,-10.289,0.0656,0.125,0.38,120.041,194207,696120
