rank,uri,artist_names,title,source,peak_rank,previous_rank,weeks_on_chart,streams,stream_category
22,spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz,NAYEON,POP!,Republic Records – NAYEON (TWICE),10,15,6,1067735,9
23,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,6,22,46,1027930,9
24,spotify:track:5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,Asan Ka Na Ba,Universal Music Philippines Inc.,6,23,19,998936,9
25,spotify:track:63bmIgH9sS6sX5Sc7MetGq,Zack Tabudlo,Habang Buhay,Universal Music Philippines Inc.,2,24,45,988197,9
26,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,26,31,49,939062,8
27,spotify:track:5NvOZCjZaGGGL597exlQWv,Ricky Montgomery,Line Without a Hook,Warner Records,10,25,48,932232,8
28,spotify:track:1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Sweet Jane Recordings,26,26,6,910517,8
29,spotify:track:68HocO7fx9z0MgDU0ZPHro,NIKI,Every Summertime,"MARVEL/Hollywood Records, Inc./Interscope Records",2,27,33,891685,8
30,spotify:track:4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,28,28,16,885152,8
31,spotify:track:5d9Rka4T0szdC1MobhtXrV,Ben&Ben,Paninindigan Kita,Sony Music Entertainment,25,29,14,871800,8
32,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,Lizzo,About Damn Time,Nice Life/Atlantic,18,30,13,828039,7
33,spotify:track:7gfrASeOt73YWvpIv1fU8E,Arthur Nery,Higa,O/C Records,10,35,113,814357,7
34,spotify:track:4iRRAvxPPWXQp3mV1rAbPF,NOBITA,Unang Sayaw,Sony Music Entertainment,12,32,42,814130,7
35,spotify:track:4IeuTj1pEHuL9vJSiEqEfR,mrld,Ligaya,O/C Records,18,33,35,803420,7
36,spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,44,38,803277,7
37,spotify:track:0QzuaeCEEOV40Pn7IvKEny,dhruv,double take,Little Worry/RCA Records,1,37,58,796321,7
38,spotify:track:7C9Knp9FzLY6RwgktmW9Ge,"Because, Leslie",BMW,Viva Records,4,34,46,783561,7
39,spotify:track:5yu0lVVW68f5VIzdjIJVQ6,"Arthur Miguel, Trisha Macapagal",Ang Wakas (feat. Trisha Macapagal),Warner Music Philippines,22,36,18,766950,7
40,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,Troye Sivan,Strawberries & Cigarettes,EMI Recorded Music Australia Pty Ltd,22,38,137,751151,7
41,spotify:track:1dcNEEtODRVZEevQ20Cgmy,Zack Tabudlo,Nangangamba,Universal Music Philippines Inc.,4,39,70,745373,6
42,spotify:track:3PgjBOoA5OytNGkglObpOd,Ben&Ben,Sa Susunod na Habang Buhay,Sony Music Entertainment,2,40,127,720205,6
43,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,9,51,38,702809,6
44,spotify:track:0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,44,49,9,702611,6
45,spotify:track:55RMhrPQYA6vLu5YMgXxFD,Zack Tabudlo,Binibini,Universal Music Philippines Inc.,1,45,70,685226,6
46,spotify:track:3pCt2wRdBDa2kCisIdHWgF,Pamungkas,To the Bone,Mas Pam Records,5,42,61,682033,6
47,spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,Atlantic Records,20,43,28,679347,6
48,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,20,46,58,676978,6
49,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,29,48,11,663604,6
50,spotify:track:152sJgmftB46Q6IsDTUDLN,Sam Concepcion,Diwata (Miss Universe Philippines 2021),Old School Records,7,41,24,650177,6
51,spotify:track:0HZ3OUVrGHxttD2EuHqRm3,Hale,The Day You Said Goodnight,PolyEast Records,41,47,204,626198,5
52,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",52,52,11,617754,5
53,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,"Big Machine Records, LLC",12,61,39,603003,5
54,spotify:track:4IaxDf2FixiQXq0mW7key9,Jessi,ZOOM,P NATION,8,50,16,586325,5
55,spotify:track:3Eb5sztvEMa0Mqnb8DUAlU,IV Of Spades,Come Inside Of My Heart,Warner Music Philippines,53,53,71,583892,5
56,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,4,55,63,580216,5
57,spotify:track:0xaKCWpX4CBSqwh7CQa4EG,Al James,PSG,Al James,9,54,29,565810,5
58,spotify:track:0mL82sxCRjrs3br407IdJh,The Weeknd,Is There Someone Else?,XO / Republic Records,52,57,14,555213,5
59,spotify:track:22bPsP2jCgbLUvh82U0Z3M,Taylor Swift,The Way I Loved You (Taylor’s Version),Taylor Swift,17,65,10,544627,4
60,spotify:track:3WUEs51GpcvlgU7lehLgLh,Ben&Ben,Kathang Isip,Warner Music Philippines,2,59,242,542949,4
61,spotify:track:5TTXEcfsYLh6fTarLaevTi,NIKI,lowkey,88rising Music,26,58,133,533456,4
62,spotify:track:6wdCelHrPh7UfliNjwRTUv,Ben&Ben,Leaves,Warner Music Philippines,40,62,236,530283,4
63,spotify:track:5F1ZmucV0uJY14y2dYKePa,Joji,Sanctuary,88rising Music/Warner Records,17,56,123,529659,4
64,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,1,70,94,525267,4
65,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,69,70,522850,4
66,spotify:track:2xCkiGqGMkAIg6fQTag51C,Unique Salonga,Sino,O/C Records,66,67,51,522191,4
67,spotify:track:4rG3h1QwgjSSWz8EIjCFrm,Ben&Ben,Araw-Araw,Sony Music Entertainment,23,60,151,520603,4
68,spotify:track:0EA8jl8Wje9ALRKC8Qlzyt,"Arthur Nery, Jason Dhakal",Happy w u,Viva Records,21,64,55,508876,4
69,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",69,79,99,493160,4
70,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,68,56,485743,4
71,spotify:track:2q3LzfknBzye3xXjgiJBjS,"Gatton, Brooke Young",When Scars Become Art,Gatton,19,66,27,481016,4
72,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,29,63,17,475943,4
73,spotify:track:663vZfMh88Uo2bfTx6wiE4,"Janine Teñoso, Arthur Nery",Pelikula,Viva Records,32,72,55,465394,4
74,spotify:track:3ueq4reab02CypseErxvwS,South Border,Rainbow,PolyEast Records,53,74,293,463045,4
75,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,10,76,44,455608,4
76,spotify:track:092cPwFlwBXdB3QF3X469W,Arthur Nery,Binhi,O/C Records,13,77,72,448277,3
77,spotify:track:0dcnrLo8s1rhjm8euGjI4n,TREASURE,DARARI,YG Entertainment,8,75,24,447059,3
78,spotify:track:4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),Republic Records,37,82,34,445407,3
79,spotify:track:4mc3rUoMwwiNTHA4al9nNd,Lola Amour,Fallen,Warner Music Philippines,79,91,5,441158,3
80,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,"Big Machine Records, LLC",80,94,42,439757,3
81,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,81,96,3,430963,3
82,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,82,87,3,430429,3
83,spotify:track:43t6oyPWJ67nifk7JgDgoI,"Cliff, Yden",Sunsets With You,Warner Music Philippines,60,80,15,427983,3
84,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,86,82,427629,3
85,spotify:track:1ZY1PqizIl78geGM4xWlEA,Taylor Swift,Gorgeous,"Big Machine Records, LLC",11,130,17,425010,3
86,spotify:track:2v5VIWMjZxeiG52KckiXxS,Silent Sanctuary,Ikaw Lamang,Universal Records,48,78,137,424320,3
87,spotify:track:24ngpWhBOxKJtIPnzSNX8c,December Avenue,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),Tower of Doom Music,12,83,147,417178,3
88,spotify:track:267RumTt5KeLBGl2KWxBL0,TJ Monterde,Dating Tayo,PolyEast Records,28,81,100,416177,3
89,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,88,88,59,410750,3
90,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,BIGHIT MUSIC,3,71,8,407453,3
91,spotify:track:4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Give Me Your Forever,Universal Music Philippines Inc.,21,85,40,404620,3
92,spotify:track:3OpGUlDmRUXh0NkIYWoIlD,Parokya Ni Edgar,Your Song,Universal Records,34,84,256,404247,3
93,spotify:track:6zJejIfVYLgjud3lTk4DLB,Rosa Linn,SNAP,Columbia,93,-1,1,394865,3
94,spotify:track:1t7AA4xxqEseapeIJCiQ5l,APO Hiking Society,When I Met You,Universal Records,49,93,72,393806,3
95,spotify:track:4u8RkgV6P4TLi89SmlUtv8,IV Of Spades,Mundo,Warner Music Philippines,1,98,234,388072,3
96,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,2,97,42,380467,3
97,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,23,95,55,379747,3
98,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,Olivia Rodrigo PS,5,112,63,378765,3
99,spotify:track:5l9g7py8RCblcvbZgGQgSd,Ben&Ben,Pagtingin,Sony Music Entertainment,2,100,170,373956,3
100,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,STARSHIP Entertainment,16,89,18,372453,3
101,spotify:track:04qDUASuSfVp6fktfsxVej,"Caleb Santos, Viva Music Publishing Inc.",I Need You More Today,Viva Records Corporation,89,99,124,368897,3
102,spotify:track:3FuZUeJbuejOfpbvuqp8QL,Arthur Miguel,"Dito, Sa Ilalim Ng Buwan",Warner Music Philippines,58,102,29,367562,3
103,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,13,113,45,363474,3
104,spotify:track:3U8MbjNAP56IrzpbEFn1qN,Al James,Pa-umaga,ProducedbyJimP,53,107,66,360058,3
105,spotify:track:296nXCOv97WJNRWzIBQnoj,LE SSERAFIM,FEARLESS,SOURCE MUSIC,48,103,14,358423,3
106,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,106,-1,1,356938,3
107,spotify:track:1oFAF1hdPOickyHgbuRjyX,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,11,109,67,352730,3
108,spotify:track:0WOvSEVpUGkNufX0w0M06F,LANY,13,Polydor Records,15,105,182,350989,3
109,spotify:track:0kn2gu8Pd03DiYHzRvX2Xk,Conan Gray,Wish You Were Sober,Republic Records,109,125,21,349947,2
110,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,13,117,106,349777,2
111,spotify:track:4JSDhJVmo2UqdF7nxbyenn,Hale,Kung Wala Ka,Polyeast,47,111,278,348620,2
112,spotify:track:2MJz8BxxMsERULatmBikDH,Pink Sweat$,At My Worst,Atlantic Records,1,104,100,347999,2
113,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,113,141,4,346057,2
114,spotify:track:1Hu42ZLWG9dHaVOPiWyEmE,Maximillian,Beautiful Scars,Universal Music A/S,1,131,109,344068,2
115,spotify:track:4Yxc55NX3tAXC2mHRAhtcW,"Olivia Rodrigo, Disney","All I Want - From ""High School Musical: The Musical: The Series""",Walt Disney Records,113,121,26,343427,2
116,spotify:track:4y5bvROuBDPr5fuwXbIBZR,Taylor Swift,Paper Rings,Taylor Swift,30,134,31,342622,2
117,spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,9,116,39,341580,2
118,spotify:track:4CnA1w7WulFrRPehCWDULz,Alfie Castley,Teenage Mona Lisa,Alfie Castley,30,106,28,341466,2
119,spotify:track:4HBZA5flZLE435QTztThqH,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",1,115,117,340160,2
120,spotify:track:2IAR0DziHCjSu16gR4ihvy,Bruno Major,Nothing,Bruno Major,20,114,40,338309,2
121,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,3,122,271,338259,2
122,spotify:track:0UHB9METy4VCXNgkcGqHqS,Rihanna,Kiss It Better,Roc Nation / Rihanna,74,110,14,337226,2
123,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,31,119,53,336918,2
124,spotify:track:1yDiru08Q6omDOGkZMPnei,Ben&Ben,Maybe The Night,Warner Music Philippines,1,120,236,335935,2
125,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,15,108,53,335320,2
126,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,12,160,45,332625,2
127,spotify:track:46HNZY1i7O6jwTA7Slo2PI,"Coldplay, BTS",My Universe,Parlophone UK,1,118,45,330325,2
128,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),Golden Child Recordings,12,133,241,328856,2
129,spotify:track:6I2tqFhk8tq69iursYxuxd,SEVENTEEN,HOT,PLEDIS Entertainment,41,101,10,328717,2
130,spotify:track:4VoJCUgNmnqG2qF0peDBkw,Stephen Speaks,Out of My League,Rippley Records,72,124,201,327855,2
131,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,LANY,Malibu Nights,Polydor Records,2,123,200,326826,2
132,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,-1,39,325203,2
133,spotify:track:3QwiidVHfeE9y5jl4n2MTC,SEVENTEEN,_WORLD,PLEDIS Entertainment,90,90,3,324493,2
134,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,Taylor Swift,Getaway Car,"Big Machine Records, LLC",134,161,9,317903,2
135,spotify:track:2aTKrdenCq5qBOoJPFdn4P,Jamie Miller,Here's Your Perfect,Atlantic Records,2,128,60,317860,2
136,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,108,126,5,316601,2
137,spotify:track:1nX1b7kRg5a6XKAq7uQOpr,ITZY,SNEAKERS,Republic Records - ITZY,83,92,3,313787,2
138,spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,Universal Republic Records,16,165,14,312035,2
139,spotify:track:7vu53hQrIoH7UGeh6qcct1,Zack Tabudlo,As You Are,Universal Music Philippines Inc.,120,132,14,310867,2
140,spotify:track:20JlaQj9irFjFb8X0SKKS7,Moira Dela Torre,Before It Sinks In,Star Music,80,136,42,310624,2
141,spotify:track:6LJ1p1h5EcMK4VPeCLDSoF,Shanti Dope,Nadarang,Universal Records,3,159,126,309106,2
142,spotify:track:7mFj0LlWtEJaEigguaWqYh,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,300 Entertainment,83,127,18,308652,2
143,spotify:track:2BgD4nRyx9EZ5o8YEnjRSV,"December Avenue, Moira Dela Torre",Kung 'Di Rin Lang Ikaw,Tower of Doom Music,1,143,211,307248,2
144,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,24,138,46,307147,2
145,spotify:track:00mBzIWv5gHOYxwuEJXjOG,December Avenue,Sa Ngalan Ng Pag-Ibig,Tower of Doom Music,2,145,232,305691,2
146,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,1,135,293,304750,2
147,spotify:track:2v6jmF6VQWS96x6tSg05IC,Arthur Nery,TAKE ALL THE LOVE,Viva Records,65,156,33,303197,2
148,spotify:track:0dJPIIlTmVM0lambbFgAYq,December Avenue,Eroplanong Papel,Tower of Doom Music,89,140,51,302053,2
149,spotify:track:0Jlcvv8IykzHaSmj49uNW8,Taylor Swift,the 1,Taylor Swift,2,-1,12,301521,2
150,spotify:track:22Nd3GuO7sHopPjdKccRcq,mrld,An Art Gallery Could Never Be As Unique As You,O/C Records,129,142,14,300741,2
151,spotify:track:2bOIWTTDL1XmHcaPWaCdek,Ric Segreto,Don't Know What to Say - Don't Know What to Do,Vicor Music Corporation,151,179,10,300712,2
152,spotify:track:3nqqDo8CcCLke3ZoTgiOKf,The Script,The Man Who Can't Be Moved,Epic/Phonogenic,99,147,127,300206,2
153,spotify:track:6FIEuf1JIzmCtach0gXpeG,Up Dharma Down,Tadhana,Viva Records,28,177,281,300081,2
154,spotify:track:573EXMFHsEKPRSy08G91Sr,"Katharine McPhee, Jason Reeves",Terrified,KATHARINE MCPHEE,105,151,93,299324,2
155,spotify:track:1NUw61RX4Wtmxw7CLiP4kP,Moira Dela Torre,Paubaya,Star Music,1,178,82,298119,2
156,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,85,-1,4,296167,2
157,spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,Cheating on You,Artist Partner,13,150,65,295612,2
158,spotify:track:0tr6XR58KBdDYd8qvHVTs8,Taylor Swift,Back To December,"Big Machine Records, LLC",148,184,4,295205,2
159,spotify:track:65sEZZaxTjLMD8vNgPoMz5,Magnus Haven,Imahe,Warner Music Philippines,1,164,151,294912,2
160,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,2,158,64,294654,2
161,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,80,152,106,294021,2
162,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,22,169,97,293725,2
163,spotify:track:0087fDVeNhuyMtST91RMjv,Silent Sanctuary,Kundiman,Universal Records,80,137,71,290921,2
164,spotify:track:1X4l4i472kW5ofFP8Xo0x0,I Belong to the Zoo,Sana - Single Version,I Belong to the Zoo,1,129,211,290416,2
165,spotify:track:1pi3VCMlGVaXvrjlVOkBPN,Music Hero,KLWKN,Tape Inc.,6,180,115,289179,2
166,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,Columbia,54,155,133,288809,2
167,spotify:track:4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty (Get Money),Republic Records,157,157,2,287706,2
168,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,BTS,Dynamite,BIGHIT MUSIC,1,153,102,287310,2
169,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,11,194,7,286867,2
170,spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,38,144,22,286680,2
171,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,4,167,93,285337,2
172,spotify:track:21XjtaAEZxurElfPGSKrv9,Just Hush,Maikee's Letters,Viva Records Corporation,108,170,39,282703,2
173,spotify:track:2GThBgzZoZfz0lx1JjBwfe,New West,Those Eyes,199x,151,166,7,282290,2
174,spotify:track:4Yp8lnGcIde2SWAqrMM3v9,The Itchyworms,Akin Ka Na Lang,Universal Records,97,176,25,281834,2
175,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Atlantic Records,53,168,240,280766,2
176,spotify:track:3vGkyQlCw8LklNip0ZUELC,Join The Club,Nobela,Universal Music Philippines Inc.,31,186,128,280234,2
177,spotify:track:5ZpSUdy5wL5Hvwsqz6JCAt,Stephen Speaks,Passenger Seat,Rippley Records,75,200,75,279323,2
178,spotify:track:0PQ84nbR1Owkr7RtGBmZI7,Arthur Miguel,Crazier,Warner Music Philippines,39,171,56,277723,2
179,spotify:track:3vZk7OAUjMtVDNC852aNqi,NIKI,Oceans & Engines,88rising Music,75,163,4,277542,2
180,spotify:track:135ggzbjOogZ75IQ0LQi8r,Eraserheads,Ang Huling El Bimbo,Musiko,43,185,281,275227,2
181,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002,Atlantic Records UK,4,172,224,274666,2
182,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,5,187,138,272954,2
183,spotify:track:5UhpceEr5XmbVwyoIUIRnh,Orange & Lemons,Hanggang Kailan - Umuwi Ka Na Baby,Universal Records,48,192,183,270869,2
184,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,24,173,47,265364,2
185,spotify:track:6wBpO4Xc4YgShnENGSFA1M,LE SSERAFIM,Sour Grapes,SOURCE MUSIC,154,154,4,264814,2
186,spotify:track:5elW2CKSoqjYoJ32AGDxf1,ENHYPEN,Polaroid Love,BELIFT LAB,15,174,30,264031,2
187,spotify:track:4EWBhKf1fOFnyMtUzACXEc,Rex Orange County,Pluto Projector,Rex Orange County,187,193,2,262700,2
188,spotify:track:5nMKJJ5Rl6X1yn58aVeICO,December Avenue,Bulong,Tower of Doom Music,8,183,133,262556,2
189,spotify:track:6PRy17C5LiiN7VCLS6IA98,ENHYPEN,Future Perfect (Pass the MIC),BELIFT LAB,78,148,5,262436,2
190,spotify:track:4j5ffIFh7bFT7GZciP1TCy,"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",Warner Music Nashville,2,189,148,261545,2
191,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,9,182,69,260602,2
192,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,7,188,93,259603,2
193,spotify:track:1tC2PLqLeJXt0VlgOYpc6m,Munimuni,Bawat Piyesa,Marilag Records and Productions Co.,175,175,12,258426,2
194,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,20,-1,47,257432,2
195,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,2,196,72,256102,2
196,spotify:track:12M5uqx0ZuwkpLp5rJim1a,Taylor Swift,Cornelia Street,Taylor Swift,22,-1,8,255973,2
197,spotify:track:0Ryd8975WihbObpp5cPW1t,"Ariana Grande, Social House",boyfriend (with Social House),Republic Records,13,181,27,255729,2
198,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,"Taylor Swift, Bon Iver",exile (feat. Bon Iver),Taylor Swift,3,-1,13,254295,2
199,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,85,195,201,254111,2
200,spotify:track:0SzvXb3BAWgTHACbIXGNPa,Kamikazee,Halik,Universal Records,118,191,49,253921,2
