artist_names,title,label_name,label_name_2,label_name_3,label_name_4,label_name_5,label_category
Jack Harlow,First Class,Generation Now/Atlantic,Concord Music Publishing,Kobalt Music Publishing,,,major-indie
Pamungkas,To the Bone,Mas Pam Records,,,,,indie
"Arthur Nery, Jason Dhakal",Happy w u,Viva Records,,,,,major
Zack Tabudlo,Give Me Your Forever,Universal Music Philippines Inc.,,,,,major
Al James,PSG,Al James,,,,,indie
SEVENTEEN,HOT,PLEDIS Entertainment,,,,,major
Ruth B.,Dandelions,Columbia,,,,,major
Charlie Puth,Light Switch,Atlantic Records,,,,,major
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Warner Chappell Music,,,,major-indie
Hale,The Day You Said Goodnight,PolyEast Records,,,,,indie
The Walters,I Love You So,Warner Records,,,,,major
"Gatton, Brooke Young",When Scars Become Art,Gatton,,,,,indie
"Coldplay, BTS",My Universe,Parlophone UK,,,,,major
TREASURE,DARARI,YG Entertainment,,,,,major
Ben&Ben,Araw-Araw,Sony Music Entertainment,,,,,major
Moira Dela Torre,Paubaya,Star Music,,,,,major
Ben&Ben,Kathang Isip,Warner Music Philippines,,,,,major
Olivia Rodrigo,traitor,Olivia Rodrigo PS,Sony Music Publishing,,,,major
"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,Sony Music Publishing,,,,major
Ben&Ben,Leaves,Warner Music Philippines,,,,,major
TJ Monterde,Dating Tayo,PolyEast Records,,,,,indie
NIKI,lowkey,88rising Music,Universal Music Publishing,,,,indie
LE SSERAFIM,FEARLESS,SOURCE MUSIC,Universal Music Publishing,,,,major
South Border,Rainbow,Brown Hand Records,,,,,indie
Taylor Swift,Enchanted,Big Machine Records,LLC,,,,indie
IVE,LOVE DIVE,STARSHIP Entertainment,,,,,major
Olivia Rodrigo,deja vu,Olivia Rodrigo PS,Sony Music Publishing,,,,major
Parokya Ni Edgar,Your Song,Universal Records,,,,,major
Arthur Nery,Binhi,O/C Records,,,,,indie
"Cliff, Yden",Sunsets With You,Warner Music Philippines,,,,,major
Doja Cat,Woman,Kemosabe Records/RCA Records,Warner Chappell Music,,,,major-indie
Glass Animals,Heat Waves,Polydor Records,,,,,major
Taylor Swift,This Love (Taylor’s Version),Taylor Swift,,,,,indie
Silent Sanctuary,Ikaw Lamang,Universal Records,,,,,major
December Avenue,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),Tower of Doom Music,,,,,indie
Olivia Rodrigo,drivers license,Olivia Rodrigo PS,Sony Music Publishing,,,,major
Taylor Swift,Lover,Taylor Swift,,,,,indie
LANY,Malibu Nights,Polydor Records,,,,,major
Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,Sony Music Publishing,Warner Chappell Music,,,major
"Janine Teñoso, Arthur Nery",Pelikula,Viva Records,,,,,major
SEVENTEEN,Darl+ing,PLEDIS Entertainment,,,,,major
Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,,,,,major
Unique Salonga,Sino,O/C Records,,,,,indie
"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,,,,,major-indie
SEVENTEEN,DON QUIXOTE,PLEDIS Entertainment,Universal Music Publishing,,,,major
Pink Sweat$,At My Worst,Atlantic Records,,,,,major
Joji,Sanctuary,88rising Music/Warner Records,Concord Music Publishing,,,,major-indie
LANY,13,Polydor Records,,,,,major
APO Hiking Society,When I Met You,Universal Records,,,,,major
"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),Republic Records,Kobalt Music Publishing,Sony Music Publishing,Spirit Music Group,Warner Chappell Music,major-indie
"Maroon 5, Wiz Khalifa",Payphone,Interscope Records,,,,,major
The Weeknd,Die For You,Universal Republic Records,Kobalt Music Publishing,,,,major-indie
Alfie Castley,Teenage Mona Lisa,Alfie Castley,,,,,indie
Bruno Major,Nothing,Bruno Major,,,,,indie
Moira Dela Torre,Before It Sinks In,Star Music,,,,,major
Taylor Swift,Cruel Summer,Taylor Swift,,,,,indie
Taylor Swift,Blank Space,Big Machine Records,LLC,,,,major-indie
"Megan Thee Stallion, Dua Lipa",Sweetest Pie,300 Entertaiment,Concord Music Publishing,Pulse Publishing Administration,Universal Music Publishing,,major-indie
Ben&Ben,Pagtingin,Sony Music Entertainment,,,,,major
Taylor Swift,Don’t Blame Me,Big Machine Records,LLC,,,,major-indie
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,Universal Music Publishing,,,,major
"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,Universal Music Publishing,Warner Chappell Music,,,major
Hale,Kung Wala Ka,PolyEast Records,,,,,indie
Jamie Miller,Here's Your Perfect,Atlantic Records,Sony Music Publishing,,,,major
IV Of Spades,Mundo,Warner Music Philippines,,,,,major
Ben&Ben,Maybe The Night,Warner Music Philippines,,,,,major
Arthur Miguel,"Dito, Sa Ilalim Ng Buwan",Warner Music Philippines,,,,,major
IV Of Spades,Come Inside Of My Heart,Warner Music Philippines,,,,,major
Conan Gray,Heather,Republic Records,,,,,major
"Jimin, HA SUNG WOON",With you,Genie Music Corporation,Stone Music Entertainment,,,,major
"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),"Ariana Grande & Justin Bieber ""Stuck With U"" - Charity",Warner Chappell Music,,,,major
Lauv,I Like Me Better,Lauv,Kobalt Music Publishing,Prescription Songs,Warner Chappell Music ,,major-indie
"Justin Bieber, Don Toliver",Honest (feat. Don Toliver),Justin Bieber 2021 PS/ Def Jam,Shelly Bay Music LLC,,,,major
Ed Sheeran,Shivers,Atlantic Records UK,Sony Music Publishing,Universal Music Publishing,,,major
Silent Sanctuary,Kundiman,Universal Records,,,,,major
"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,Kobalt Music Publishing,Sony Music Publishing,,,major-indie
Olivia Rodrigo,happier,Olivia Rodrigo PS,,,,,major
GAYLE,abcdefu,Atlantic/Arthouse Records,,,,,major-indie
Rihanna,Kiss It Better,Roc Nation / Rihanna,Sony Music Publishing,Universal Music Publishing,Warner Chappell Music ,,major
"December Avenue, Moira Dela Torre",Kung 'Di Rin Lang Ikaw,Tower of Doom Music,,,,,indie
December Avenue,Sa Ngalan Ng Pag-Ibig,Tower of Doom Music,,,,,indie
"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),Golden Child Recordings,,,,,major
"Kelsea Ballerini, LANY",I Quit Drinking,Black River Entertainment,Warner Chappell Music,,,,major-indie
Harry Styles,Matilda,Columbia,Artist Publishing Group,Pulse Publishing Administration,Universal Music Publishing,,major-indie
The Weeknd,Is There Someone Else?,XO / Republic Records,Downtown Music Publishing,Universal Music Publishing,,,major-indie
Lil Nas X,THATS WHAT I WANT,Columbia,Universal Music Publishing,,,,major
ENHYPEN,Polaroid Love,BELIFT LAB,Because Editions,Phrased Differently,,,major-indie
Zack Tabudlo,As You Are,Universal Music Philippines Inc.,,,,,major
"Caleb Santos, Viva Music Publishing Inc.",I Need You More Today,Viva Records Corporation,,,,,major
"Olivia Rodrigo, Disney","All I Want - From ""High School Musical: The Musical: The Series""",Walt Disney Records,,,,,major
Taylor Swift,Style,Big Machine Records,LLC,,,,major-indie
"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,Kobalt Music Publishing,Warner Chappell Music,,,major-indie
"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,Warner Chappell Music,,,,major
One Direction,Night Changes,Syco Music,Hipgnosis Songs Fun (fka Big Deal Music Group),Sony Music Publishing,Universal Music Publishing,,major
BTS,Butter,BIGHIT MUSIC,Warner Chappell Music,,,,major
Stephen Speaks,Out of My League,Rippley Records,,,,,major-indie
Harry Styles,Falling,Columbia,Universal Music Publishing,,,,major
The Itchyworms,Akin Ka Na Lang,Universal Records,,,,,major
SEVENTEEN,March,PLEDIS Entertainment,,,,,major
"PSY, SUGA",That That (prod. & feat. SUGA of BTS),P NATION,,,,,major
December Avenue,Eroplanong Papel,Tower of Doom Music,,,,,indie
James Arthur,Say You Won't Let Go,Columbia,Ultra International Music Publishing,LLC,,,major-indie
Al James,Pa-umaga,ProducedbyJimP,,,,,indie
mrld,An Art Gallery Could Never Be As Unique As You,O/C Records,,,,,indie
Music Hero,KLWKN,Tape Inc.,,,,,major
Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,,,,,indie
Magnus Haven,Imahe,Warner Music Philippines,,,,,major
"Moira Dela Torre, Jason Marvin",Ikaw At Ako,Star Music,,,,,major
Anne-Marie,2002,Atlantic Records UK,Universal Music Publishing,Warner Chappell Music,,,major
Charlie Puth,Cheating on You,Artist Partner,,,,,indie
Justin Bieber,Favorite Girl,RBMG/Def Jam,BMG Publishing,,,,major
Taylor Swift,Paper Rings,Taylor Swift,,,,,indie
"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",Warner Music Nashville,,,,,major
Conan Gray,Wish You Were Sober,Republic Records,Sony Music Publishing,,,,major
Clinton Kane,I GUESS I'M IN LOVE,Columbia,Native Tongue Music Publishing,,,,major-indie
I Belong to the Zoo,Sana - Single Version,I Belong to the Zoo,,,,,indie
"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),Columbia,BMG Publishing,,,,major
"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),Mercury Records/Republic Records,Universal Music Publishing,,,,major
"Post Malone, The Weeknd",One Right Now (with The Weeknd),Republic Records,Universal Music Publishing,,,,major
December Avenue,Bulong,Tower of Doom Music,,,,,indie
SEVENTEEN,Shadow,PLEDIS Entertainment,,,,,major
Coldplay,Yellow,Parlophone UK,,,,,major
Gatton,rainbow,1045554 Records DK,,,,,indie
WILLOW,Wait a Minute!,Roc Nation W Smith P&D,,,,,major
"Alisson Shore, Kiyo",Urong Sulong,LABRYNTH,,,,,indie
"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,,,,,major
Arthur Miguel,Crazier,Warner Music Philippines,,,,,major
Kamikazee,Halik,Universal Records,,,,,major
Taylor Swift,The Man,Taylor Swift,,,,,indie
Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,,,,,indie
Jeremy Zucker,comethru,Republic Records,Songtrust,,,,major-indie
Moira Dela Torre,Tagpuan,Star Music,,,,,major
"Zack Tabudlo, Moira Dela Torre",Iba (ft. Moira Dela Torre),Universal Music Philippines Inc.,,,,,major
Harry Styles,Daylight,Columbia,Pulse Publishing Administration,Universal Music Publishing,,,major-indie
SEVENTEEN,Domino,PLEDIS Entertainment,,,,,major
IVE,ELEVEN,STARSHIP Entertainment,Warner Chappell Music,,,,major
Bruno Mars,Just the Way You Are,Atlantic Records,Universal Music Publishing,,,,major
Arthur Nery,TAKE ALL THE LOVE,Viva Records,,,,,major
Ben&Ben,Make It With You,Star Music,,,,,major
Skusta Clee,Lagi,Panty Droppaz League,,,,,indie
TOMORROW X TOGETHER,Good Boy Gone Bad,Republic Records - TXT,Universal Music Publishing,,,,major
SEVENTEEN,'bout you,PLEDIS Entertainment,,,,,major
The Weeknd,Save Your Tears,Republic Records,Universal Music Publishing,Warner Chappell Music,Warp Music Limited,,major-indie
Harry Styles,Watermelon Sugar,Columbia,Pulse Publishing Administration,Universal Music Publishing,,,major-indie
"Ben&Ben, Moira Dela Torre",Pasalubong - feat. Moira Dela Torre,Sony Music Entertainment,,,,,major
Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,Kobalt Music Publishing,,,,major-indie
Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,Sony Music Publishing,,,,major
TWICE,The Feels,Republic Records - TWICE,,,,,major
JVKE,this is what falling in love feels like,JVKE,,,,,indie
"MC Einstein, Flow G, Jekkpot, Yuridope",Titig,Haftway House,,,,,indie
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,BMG Publishing,,,,major
Ariana Grande,positions,Republic Records,BMG Publishing,Reservoir Media Music,Sony Music Publishing,Universal Music Publishing,major-indie
The Goo Goo Dolls,Iris,Warner Records,,,,,major
Eraserheads,Ang Huling El Bimbo,Musiko,,,,,indie
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,Atlas Music Publishing,Kobalt Music Publishing,Universal Music Publishing,Warner Chappell Music,major-indie
"Bosx1ne, John Roa, Skusta Clee, Emcee Rhenn, Flow G, Bullet-D, Kent Mnl",Need You,Ex Battalion Music,BMG Publishing,,,,major-indie
BTS,Dynamite,BIGHIT MUSIC,,,,,major
Ed Sheeran,Photograph,Atlantic Records UK,Spirit Music Group,,,,major-indie
"Kamikazee, Kyla",Huling Sayaw,Universal Records,,,,,major
"Nica del Rosario, Gab Pangilinan",Rosas,FlipMusic,,,,,major
SEVENTEEN,IF you leave me,PLEDIS Entertainment,,,,,major
Ric Segreto,Don't Know What to Say - Don't Know What to Do,Vicor Music Corporation,,,,,major
Giveon,Heartbreak Anniversary,Epic/Not So Fast,,,,,major
LANY,Thick And Thin,Polydor Records,Warner Chappell Music,,,,major
"Ariana Grande, Social House",boyfriend (with Social House),Republic Records,BMG Publishing,Reservoir Media Music,Sony Music Publishing,Universal Music Publishing,major-indie
